COD,Deptos,Municipio,Poblaciòn Menor de 1 año,POLIO,% VOP,DPT,% DPT,BCG,%BCG,HB,% HB,HiB,%Hib,Poblaciòn de 1 año,T.V.,%Triple Viral,F.A.,%F.A.,Rotavirus 2da Dosis,Neumococo 3ra Dosis   1er. Año,Neumococo 2da Dosis     (12-23 meses),Neumococo Dosis Unica (24-35 meses),TOTALES,,,
86885,PUTUMAYO,Villagarzón, 490   ,484,98.8,498,101.6,287,58.6,498,101.6,498,101.6, 489 ,475,97.1,483,98.8,211,23,18,1," 3,476 ",,,
88001,SAN ANDRÉS,San Andrés," 1,196   ",846,70.7,849,71.0,871,72.8,849,71.0,849,71.0," 1,189 ",896,75.4,905,76.1,432,14,4,7," 6,522 ",,,
88564,SAN ANDRÉS,Providencia, 87   ,77,88.5,70,80.5,16,18.4,70,80.5,70,80.5, 86 ,63,73.3,63,73.3,115,1,0,1, 546 ,,,
91001,AMAZONAS,Leticia," 1,005   ",1060,105.5,1060,105.5,1084,107.9,1060,105.5,1060,105.5,995,1180,118.6,1177,118.3,715,55,1,0," 8,452 ",,,
91263,AMAZONAS,El Encanto (Cd.), 135   ,27,20.0,28,20.7,52,38.5,28,20.7,28,20.7,132,59,44.7,45,34.1,18,3,0,0, 288 ,,,
91405,AMAZONAS,La Chorrera (Cd.), 113   ,34,30.1,34,30.1,52,46.0,34,30.1,34,30.1,111,41,36.9,62,55.9,22,0,0,0, 313 ,,,
91407,AMAZONAS,La Pedrera (Cd.), 153   ,75,49.0,75,49.0,94,61.4,75,49.0,75,49.0,148,95,64.2,95,64.2,47,1,0,0, 632 ,,,
91430,AMAZONAS,La Victoria (Cd.), 37   ,0,0.0,0,0.0,2,5.4,0,0.0,0,0.0,36,4,11.1,4,11.1,0,0,0,0, 10 ,,,
91460,AMAZONAS,Miriti-Paraná (Cd.), 46   ,15,32.6,15,32.6,26,56.5,15,32.6,15,32.6,46,31,67.4,31,67.4,3,0,1,0, 152 ,,,
91530,AMAZONAS,Puerto Alegría (Cd.), 55   ,13,23.6,13,23.6,14,25.5,13,23.6,13,23.6,53,32,60.4,21,39.6,2,0,0,0, 121 ,,,
91536,AMAZONAS,Puerto Arica (Cd.), 59   ,46,78.0,49,83.1,44,74.6,49,83.1,49,83.1,56,35,62.5,39,69.6,27,0,0,0, 338 ,,,
91540,AMAZONAS,Puerto Nariño, 274   ,159,58.0,160,58.4,155,56.6,160,58.4,160,58.4,265,196,74.0,193,72.8,86,5,0,0," 1,274 ",,,
91669,AMAZONAS,Puerto Santander (Cd.), 85   ,30,35.3,30,35.3,46,54.1,31,36.5,30,35.3,83,43,51.8,49,59.0,22,0,0,0, 281 ,,,
91798,AMAZONAS,Tarapacá (Cd.), 145   ,100,69.0,100,69.0,112,77.2,100,69.0,100,69.0,141,93,66.0,92,65.2,45,6,0,0, 748 ,,,
94001,GUAINÍA,Puerto Inírida, 454   ,487,107.3,486,107.0,580,127.8,486,107.0,486,107.0,453,528,116.6,509,112.4,317,133,17,8," 4,037 ",,,
94343,GUAINÍA,Barranco Minas (Cd.), 131   ,64,48.9,63,48.1,126,96.2,68,51.9,60,45.8,128,110,85.9,113,88.3,20,6,0,0, 630 ,,,
94663,GUAINÍA,Mapiripana (Cd.), 83   ,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,82,0,0.0,0,0.0,0,0,0,0, -   ,,,
94883,GUAINÍA,San Felipe (Cd.), 39   ,12,30.8,12,30.8,12,30.8,12,30.8,12,30.8,39,12,30.8,14,35.9,5,0,0,0, 91 ,,,
94884,GUAINÍA,Puerto Colombia (Cd.), 111   ,15,13.5,14,12.6,27,24.3,16,14.4,14,12.6,111,26,23.4,26,23.4,8,3,0,0, 149 ,,,
94885,GUAINÍA,La Guadalupe (Cd.), 9   ,3,33.3,3,33.3,1,11.1,3,33.3,3,33.3,8,1,12.5,2,25.0,4,2,0,0, 22 ,,,
94886,GUAINÍA,Cacahual (Cd.), 61   ,175,286.9,159,260.7,6,9.8,140,229.5,140,229.5,60,7,11.7,5,8.3,4,3,0,0, 639 ,,,
94887,GUAINÍA,Pana Pana (Cd.), 90   ,3,3.3,6,6.7,13,14.4,6,6.7,6,6.7,88,19,21.6,19,21.6,2,0,5,0, 79 ,,,
94888,GUAINÍA,Morichal (Cd.), 25   ,10,40.0,10,40.0,14,56.0,10,40.0,10,40.0,25,25,100.0,25,100.0,8,1,1,0, 114 ,,,
95001,GUAVIARE,San José del Guaviare," 1,591   ",1588,99.8,1588,99.8,1455,91.5,1588,99.8,1588,99.8,"1,577",1562,99.0,1562,99.0,667,22,55,29," 11,704 ",,,
95015,GUAVIARE,Calamar, 299   ,202,67.6,202,67.6,180,60.2,202,67.6,202,67.6,294,205,69.7,205,69.7,126,2,13,17," 1,556 ",,,
95025,GUAVIARE,El Retorno, 587   ,243,41.4,243,41.4,250,42.6,243,41.4,243,41.4,580,226,39.0,226,39.0,156,3,9,6," 1,848 ",,,
95200,GUAVIARE,Miraflores, 321   ,149,46.4,149,46.4,65,20.2,149,46.4,149,46.4,321,141,43.9,141,43.9,59,0,8,0," 1,010 ",,,
97001,VAUPÉS,Mitú, 910   ,680,74.7,681,74.8,668,73.4,681,74.8,681,74.8,891,578,64.9,581,65.2,237,12,12,1," 4,812 ",,,
97161,VAUPÉS,Carurú, 93   ,46,49.5,44,47.3,47,50.5,44,47.3,44,47.3,89,98,110.1,69,77.5,13,0,0,0, 405 ,,,
97511,VAUPÉS,Pacoa (Cd.), 136   ,107,78.7,107,78.7,96,70.6,107,78.7,107,78.7,132,91,68.9,88,66.7,12,1,0,0, 716 ,,,
97666,VAUPÉS,Taraira, 41   ,59,143.9,59,143.9,49,119.5,59,143.9,59,143.9,39,42,107.7,42,107.7,14,0,0,0, 383 ,,,
97777,VAUPÉS,Papunaua (Cd.), 31   ,8,25.8,8,25.8,8,25.8,8,25.8,8,25.8,31,8,25.8,8,25.8,1,0,0,0, 57 ,,,
97889,VAUPÉS,Yavaraté (Cd.), 37   ,40,108.1,40,108.1,24,64.9,40,108.1,40,108.1,37,23,62.2,23,62.2,9,0,0,0, 239 ,,,
